text,label,notes,source_url,created_at,symbols
"Morningstar: Space-related ETFs have attracted $1.3B in new cash in the last month alone, pushing total assets under management in the ‌embryonic segment to $3.3B ""We tend to see this happen whenever something new and shiny appears on the scene"" $NASA has accumulated more in assets in the 7 weeks since its launch than the $972M $UFO has in the 7 years since its debut 2/3rds of the inflows into UFO ETF have come in the last 12 months & ‌20% in the last month alone - UFO was labeled the worst ETF launch ​of the year by Morningstar in 2019 but now has posted a +49% YTD & a 1-year gain of +133.6% $WARP & $DIPR which debuted only a day apart at the beginning of May, together have already pulled in $13.6M in assets Reuters analysis of the largest ​holdings of the 7 existing pure-play space ETFs shows that all of ‌them include the same 4 stocks, including $RKLB in their top 10 holdings, & that all of them have an overlap of 50% or more in the list ​of their holdings",evidence_analysis,,https://stocktwits.com/message/654173202,2026-05-22T14:51:00Z,NASA|UFO|WARP|DIPR|RKLB
"PickAlpha Midday: SpaceX received investment-grade credit ratings from all three major agencies ahead of a planned $20B+ bond offering. Moody’s rated the company Baa1, Fitch assigned BBB+, and S&P gave it BBB. The proceeds are expected to refinance existing debt following the company’s record IPO. Tickers: $SPCX $RKLB $IRDM Our view is the story isn’t the bond sale — it’s the rating. Investment-grade status officially moves SpaceX into a different category of company: critical infrastructure rather than speculative growth. Between Starlink’s cash generation, dominant launch economics, and deep ties to NASA and the Department of Defense, credit markets are signaling that SpaceX is becoming one of the most strategically important industrial assets in the world.",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656913839,2026-06-18T21:44:22Z,SPCX|RKLB|IRDM
"$SPCX now sitting around a ~$2.5T valuation footprint - yet capital flow here looks increasingly saturated. Hard to see outsized upside from this point in the cycle. On the other side, $RKLB stands out as one of the cleanest Space pure-plays with real operating leverage to the sector, not just broad exposure. Still ~30% off ATH, but price structure is tightening after holding the $103 support zone. If momentum continues, next major liquidity area sits near $180. In a crowded space theme, RKLB remains one of the few names where risk/reward is still asymmetric.",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656833939,2026-06-18T14:01:19Z,SPCX|RKLB
HOUR stock can 10X from here - most undervalued penny stock in the market - 1.8M float with zero dilution - did 143M in revenue last year with around $2M in net profit (doing the best numbers since they went public ) - insiders have never sold (even when this hit 7+) and the top two holders both own around 17M shares and are incentivized to boost numbers again this year $SPCE ww,evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656757201,2026-06-17T19:39:35Z,SPCE
$ASTS Near term catalysts: 1. Japan J-LEO Decision — End of June 2026 2. Satellite Launches — Ongoing (next batches 2026) 3. Q2 Earnings — Early/Mid August 2026 4. Rakuten Japan Service Launch — Q4 2026 5. U.S. Commercial Service Start — Late 2026,evidence_analysis,,https://stocktwits.com/message/656888775,2026-06-18T18:50:13Z,ASTS
2/8: SpaceX extends post-IPO surge; market cap briefly tops Microsoft intraday and closes above Amazon as float stays tight ahead of index adds and options/levered ETFs launch. $IPO $QQQ $SPY $ARKX $MSFT,evidence_analysis,,https://stocktwits.com/message/656680105,2026-06-17T12:00:25Z,IPO|QQQ|SPY|ARKX|MSFT
$SPCE its crazy virgin galactic had all time high of 21 bil dollar market cap. Currently 345 million. So why did go thag high its bec they were actually launching spaceflight a d generating revenue. It seems they are starting up again with a new space vehicle and more customers can get on it. I am holding 5000 shares but if the rally comes back again and we see a 10 bil mkt cap at least. Thats a 100$ stock $tslA $spcX $rklB $ spy,evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656768931,2026-06-17T20:47:18Z,SPCE|TSLA|SPCX|RKLB
"$ASTS is approaching a key confluence zone where the trendline and the 200DMA align around $80.47. This type of overlap often becomes a high-interest area for buyers because multiple technical levels cluster together. If price reaches that zone, it could present a strong reaction point, but confirmation still depends on how price behaves once it gets there. At this stage, it’s a potential high risk-reward setup, not a guaranteed opportunity yet.",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656855889,2026-06-18T15:40:39Z,ASTS
"$OPEN I was laughing at Mihalis because he sold for losses here just to reallocate to $SPCE and lose everthing 🤪. But know I feel like a jestermaxxing fool for losing big on $SPY 0DTE's yesterday, then chasing those losses today and losing even more money. I fucking hate options, but I am too poor to make shares worthwhile here.",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656770400,2026-06-17T21:01:36Z,OPEN|SPCE|SPY
"@TalkMarkets $UFO is most certainly NOT a space pure play. The 6 gigantic defense prime contractors / commercial aerospace companies derive only a tiny % of their revenue from space. And Garmin amd SiriusXM are not even “space” companies. Instead, try $NASA or $MARS if you don’t want your space ETF to be diluted by non-space things.",evidence_analysis,,https://stocktwits.com/message/650691046,2026-04-18T19:34:17Z,UFO|NASA|MARS
"$ASTS To reach the target (36 more satellites) by the end of the year, SpaceX would need to conduct a launch carrying three ASTS satellites every two weeks—since I don't think Blue Origin will be launching anything this year. However, the planned launch intervals are much longer, so the timeline will likely slip.",evidence_analysis,,https://stocktwits.com/message/656859699,2026-06-18T16:00:08Z,ASTS
"$ASTS ok, here's an explanation for today: Looks like we had a ton of June expiry options ($75, $80, $85) which people were playing BB8-10 launch and the SpaceX IPO. The swift move down this AM caused dealers to net sell ~1.3M shares very quickly exacerbating the move.",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656926301,2026-06-19T01:32:51Z,ASTS
"$ASTS honestly, we should be at about 70% of SpaceX's valuation since Starlink makes up 70% of their revenue and respectfully we will be better than Starlink. So once market corrects SpaceX's valuation to $1 trillion, we will be at $700 billion in no time! Keep investing!!!",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656867176,2026-06-18T16:41:25Z,ASTS
"$ASTS bulls are incredibly enraged because there is now a clearly superior stock on the market that is pumped 1000x vs their little satellite company. SpaceX is here to stay and until they get to a realistic valuation, we will continue to see AST mobile sell off too.",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656942428,2026-06-19T14:34:09Z,ASTS
$ASTS correction: “SpaceX’s Starlink is strictly partnered with T-Mobile” FOR NOW! T-Mobile’s exclusivity with SpaceX ends in about one month and they’ve already joined AT&T and Verizon for space based cell service (and guess who the satellite service is with?),evidence_analysis,,https://stocktwits.com/message/656962235,2026-06-20T02:39:21Z,ASTS
"$ASTS upgraded to Buy with a $103/share target, driven by imminent commercial operations and robust satellite deployment plans. ASTS expects to achieve continuous coverage across key markets by late 2026 or early 2027, with 45 satellites in orbit and global expansion to follow.",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656851870,2026-06-18T15:20:24Z,ASTS
"$UFO $NASA While the exact percentage fluctuates daily based on market performance and fund rebalancing, recent data indicates the weight of the SpaceX SPV exposure in the NASA ETF is approximately 8.7% to 9.6%.",evidence_analysis,,https://stocktwits.com/message/654478602,2026-05-27T13:12:48Z,UFO|NASA
"https://www.youtube.com/watch?v=VR353cDvcpQ Trading Trends 1/16/26 TODAY, Real Estate & Semis Add 1% while China & Copper Lose 2%; New ATH for $XLI, $EWY, $SMH, $SHLD, $ARKX THIS WEEK Characterized by ~7% Rallies in Silver, Uranium & Ethereum By John Salama, CMT Top Standard Deviation (Surprise) Moves of the Day Sorted by Multiple Sigma Move Gainers: +1.0% IYR (US Real Estate Ishares ETF) +1.6% SOXX (Semiconductor Ishares ETF) [NEW ALL TIME HIGH] +1.7% ARKX (Ark Space Exploration & Innovation ETF) [NEW ALL TIME HIGH] Losers: -1.9% FXI (China Largecap Ishares ETF) -2.7% CPER (US Copper) Top 3 Gainers of the Past 5 Days: +10.9% SLV (Silver Trust Ishares) +7.4% URA (GX Uranium ETF) +6.7% ETHA (Ishares Ethereum Trust ETF) Top 3 Losers of the Past 5 Days: -5.7% IGV (North American Tech-Software Ishares ETF) -3.0% UNG (US Natural Gas Fund) -2.1% XLC (S&P 500 Communication Sector SPDR) Top 3 Trades of the Past 5 Days: LONG SLV LONG URA LONG ETHA Top 3 Trades of the Past 52 Weeks: LONG SLV +186% LONG GDX +164% LONG EWY +104%",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/642091095,2026-01-16T18:42:54Z,XLI|EWY|SMH|SHLD|ARKX
"$ASTS The chances of AST SpaceMobile winning Japan's $1 billion J-LEO award by the end of June 2026 are considered high, with their Rakuten Mobile-backed alliance emerging as one of two leading contenders. The Competitors: AST SpaceMobile (partnered with Rakuten Mobile) is locked in a tight race against a consortium backed by SpaceX and KDDI. National Autonomy: The Japanese Ministry of Internal Affairs and Communications (MIC) requires the J-LEO network to be domestically operated and managed. Because AST’s partner, Rakuten, is a founding investor and deeply embedded in Japan’s telecom ecosystem, their alliance natively fulfills these domestic control requirements. Capabilities: AST SpaceMobile is specifically designed to work with unmodified, everyday smartphones. The J-LEO program requires video calling capabilities and emergency services, a technical hurdle AST has already demonstrated in Japan.",evidence_analysis,,https://stocktwits.com/message/656945819,2026-06-19T15:58:07Z,ASTS
"$RKLB At present, the institutional shareholding ratio of RKLB is between 58.5% and 65%; after deducting the ”market maker’s hedging demand and option locking“, there are only about 120 million to 140 million shares of ”pure retail/short-term free circulation chips“ left in the market. A total of 50 million Q Q Q buys today. Actually cleared nearly 35% to 40% of the liquidity in the market. This means that the remaining supply in the market has been extremely compressed. If there is any profit stimulus in the future (such as the new progress of the Neutron rocket or the signing of the space42 order), the stock price will appear a very explosive dryland market due to the ”serious imbalance between supply and demand“.",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656933773,2026-06-19T08:29:45Z,RKLB
"$LUNR just a series of chain reactions, nothing more nothing less. Fundamentally solid and the space sector is only gonna get more attention both privately and from govt. First the spcx sucked the liquidity, gamblers ran for greener pastures and now getting hammered. Second, the ATM news spooked the investors. Third, the CEO sold shares, for justification, it was a automatic sale that was pre planned. But that happened around 26 and 27$, so we got hammered on every open for the last three days. Have a good day and, God bless 🙏🏽",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656869424,2026-06-18T16:53:31Z,LUNR
@Electroyal im trying I just keep making the same dumb mistake of being too anxious a waking up early buying. Very rarely has it been a good entry due to the daily pullback in $IREN .Some days it doesnt though and ive missed that too.But i have defintsly made good profit swinging the 2x $IRE . I do know im gettin ready to buy Astx because that stock $ASTS is in perfect pivot point and usuallky bounces right in here and likely to head over 120 on nect rally again.,evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656890915,2026-06-18T19:03:02Z,IREN|IRE|ASTS
"$AMD +325% Taking partial profits after a large run and rotating capital into new opportunities is a common portfolio management approach. A small trim here with reallocation into a swing account allows capital redeployment without fully exiting the long-term trend. $AMD remains a long-term trend asset, but after an extended move, partial profit-taking is consistent with risk management. $NOW and $ASTS are currently viewed as having more attractive near-term risk/reward setups. This is rotation rather than replacement.",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656911946,2026-06-18T21:23:24Z,AMD|NOW|ASTS
$ASTS Well this sucks. Hopefully we’ll get some good news from the Japanese LEO in the next couple of weeks. I truly believe that could be a turning point for us because it’s the first major catalyst since SpaceX went public. I think once people see that AST has won out in a head-to-head competition against Starlink…. It could be a turning point in how people perceive us.,evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656887632,2026-06-18T18:43:13Z,ASTS
$RKLB I wish all my space friends luck $ASTS $NASA $UFO. while we all play the SPACEX share allocation game tomorrow. Some will get shares some won't. Wall Street screwed us and threw all our beloved space stocks down to the floor the past few weeks and then raised them all on the last day after many got out and took loses. Maybe tomorrow space hits hard on all cylinders.,evidence_analysis,,https://stocktwits.com/message/656210143,2026-06-11T23:30:40Z,RKLB|ASTS|NASA|UFO
These $ASTS think $T and $VZ hav ea contract for service with $ASTS they have a contract to make a contract if $ASTS ever gets a service which they won't. Also both companies own millions of shares at their last ER. They may have sold all or selling all of their $ASTS shares now. LOL,evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656885969,2026-06-18T18:32:51Z,ASTS|T|VZ
"$ASTS Got an email from ASTS : To celebrate the successful launch of BlueBirds 8-10, we are pleased to offer you a complimentary AST SpaceMobile launch gear gift bag as a thank you for your continued support and participation in prior launch events. To redeem your launch gear gift bag, visit this page and enter this portal Your redemption code covers the full value of the gift bag items. Recipients will only be responsible for shipping costs. You may redeem up to three gift bags. Please note: • Your redemption code is unique to you and may only be used once • Please do not share or forward this email or your codes • Codes are valid while supplies last Thank you again for being part of the AST SpaceMobile journey. We truly appreciate the enthusiasm and support from our investor community and look forward to welcoming you to future launch activities. -AST SpaceMobile Team",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656936050,2026-06-19T11:23:14Z,ASTS
"I’ve done 20.27% ytd while being almost a third cash much of the way (nature of a high beta port, you’re always planning for a rainy day). But I’m definitely approaching this moment with a lot of caution. $QQQ ran 33.6% in two months (3/30 to 6/2), you’re going to give some of that back. There’s definitely rotation underway. You can see some aerospace and defense suppliers perking up, some bios are working well; meanwhile $SOXX is down 10.5% in a week, $UFO is down 14.3% in a week. It’s the normal ebb and flow where hot sectors sell off and strength arrives in new places and you have to adjust to it. And the shallow sell offs we’ve bought in the past are not going to work as well now, even the nature of what constitutes a dip has changed. Apparently I’m supposed to wait until the Nasdaq is down 4%. Stay agile, pay attention to rotation, do the opposite of Hal. It will be ok!",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656022513,2026-06-10T16:55:42Z,QQQ|SOXX|UFO
"$ADUR and $ASTS are two names I keep seeing pop up in higher-risk / higher-conviction discussions lately. Not saying they’re the “next big thing,” but the attention flow around them has definitely picked up. What stands out: Both tied to longer-duration infrastructure-style narratives Both attract traders looking for asymmetric upside, not steady compounding Both still very much in the “story + execution” phase rather than fully priced maturity Why people even compare them to something like $NVDA: Because everyone is always hunting for the next extreme outlier. Most of the time that’s hindsight though, not something you can confidently call early. For me, these sit more in the “watch closely, size carefully” bucket rather than conviction-heavy positioning.",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656907414,2026-06-18T20:38:31Z,ADUR|ASTS|NVDA
KTOS Stock Gains Overnight: Why JPMorgan Thinks Kratos Could Be Ready For A Comeback $KTOS $ARKQ $ARKX $BZZ https://stocktwits.com/news/equity/markets/ktos-stock-gains-overnight-jp-morgan-upgrade-ready-for-a-comeback/cZKfRnkR7d3,information_update,,https://stocktwits.com/message/656418444,2026-06-15T01:47:31Z,KTOS|ARKQ|ARKX|BZZ
"Jim Cramer Wants A 30% SpaceX IPO Pop, Not A Cerebras-Style Surge: ‘People Hang On To It And Buy More’ $SPCX $TSLA $CBRS $UFO $NASA https://stocktwits.com/news/equity/markets/jim-cramer-spacex-ipo-need-healthy-pop-not-cerebras-surge/cZK5uDpR7PN",information_update,"Borderline with analysis, hype, or risk; labeled information_update because it mainly relays an outside item.",https://stocktwits.com/message/656237543,2026-06-12T10:58:26Z,SPCX|TSLA|CBRS|UFO|NASA
"SpaceX Finalizes Blockbuster IPO Price at $135 Per Share, Raises Record $75B — All Set to Trade on Friday $SPACZZX.P $UFO $NASA https://stocktwits.com/news/equity/markets/spacex-finalizes-blockbuster-ipo-price-at-135-per-share-raises-record-75-billion/cZKcRuCR72z",information_update,,https://stocktwits.com/message/656190828,2026-06-11T20:22:55Z,SPCX|UFO|NASA
PickAlpha Morning Report - Company News: 2026.06.04 News - 1/8: SpaceX sets fixed IPO price target at $135/share for ~$1.77TN valuation and ~$75BN raise; Nasdaq debut slated June 12 with Musk retaining >82% voting control. $TSLA $ARKX $ITA.X $QQQ $SPY,information_update,,https://stocktwits.com/message/655379455,2026-06-04T11:56:59Z,TSLA|ARKX|ITA.X|QQQ|SPY
"PickAlpha Morning Report - Company News: 2026.04.20 News Analysis - 1/4: Blue Origin New Glenn 3 lands reused booster, but upper stage inserts AST SpaceMobile BlueBird 7 into unusable low orbit; satellite to de-orbit (insured) | View: The satellite is confirmed unusable and will de-orbit, creating near-term execution uncertainty… $ASTS $AMZN $ARKX",information_update,,https://stocktwits.com/message/650755182,2026-04-20T11:58:06Z,ASTS|AMZN|ARKX
"$ASTS 🐻🐂🐂🐂🐂 From Bear To Bull!! 🐂ASTS is upgraded to Buy with a $103/share target🎯, driven by imminent commercial operations n robust satellite deployment plans. 🐂ASTS expects to achieve continuous coverage across key markets by late 2026 or early 2027, with 45 satellites in orbit n global expansion to follow. 🐂With nearly 60 global MNO partners n ample capital, ASTS is positioned for substantial revenue scaling n operating leverage as commercial contracts commence. 🐂Key risks include launch/test failures n additional equity dilution, but strong cash reserves n diversified launch partners mitigate operational n financial headwinds.https://seekingalpha.com/article/4916060-ast-spacemobile-fy27-commercial-commencement-unlocks-substantial-operating-leverage?mailingid=46219592&messageid=2800&position=rta_analysis_fullsummary_main_0_title&serial=46219592.5719&source=email_2800&utm_campaign=rta-stock-article&utm_medium=email&utm_source=seeking_alpha&utm_term=46219592.5719",information_update,"Borderline with analysis, hype, or risk; labeled information_update because it mainly relays an outside item.",https://stocktwits.com/message/656852612,2026-06-18T15:24:05Z,ASTS
"Reminder: If you bought $SPCE, there’s still time to file a claim in the $8.5M investor settlement before the deadline. If you purchased shares between 2019 and 2021, you may be eligible. The case alleged that Virgin Galactic overstated the readiness and safety of its spaceflight program. After the Unity 22 flight incident and the FAA's temporary grounding of flights, $SPCE fell sharply. You can check your eligibility and submit a claim before the deadline: https://11th.com/cases/virgin-galactic-lawsuit",information_update,"Borderline with analysis, hype, or risk; labeled information_update because it mainly relays an outside item.",https://stocktwits.com/message/656839784,2026-06-18T14:24:38Z,SPCE
$SPCE no revenue = pure play https://stockstotrade.com/news/virgin-galactic-holdings-inc-spce-news-2026_06_17-2/,information_update,"Borderline with analysis, hype, or risk; labeled information_update because it mainly relays an outside item.",https://stocktwits.com/message/656799722,2026-06-18T05:55:53Z,SPCE
SpaceX Lands $4.16B Deal From US Space Force For Satellite Threat-Tracking System $SPCX $UFO $ARKX $SPRX $ORBX https://stocktwits.com/news/equity/markets/spacex-us-space-force-deal-satellite-threat-tracking-system-ipo-elon-musk/cZgjcNUReMC,information_update,,https://stocktwits.com/message/654849645,2026-05-29T22:42:39Z,SPCX|UFO|ARKX|SPRX|ORBX
